Of the following animals whose milk contains the most fat?,Camel,Cow,Buffalo,Goat,C
According to Indian belief what is Kalpataru or Parijata?,Wish - fulfilling tree,Wish - fulfilling cow,High-speed chariot,Indra's horse,A
B.V.O. (Brominated Vegetable Oil) was banned in soft drinks by which of the following organisations?,I.S.I.,AGMARK,MRTPC,None of These,C
Which of the following is/are youth organisations? : 1. NCC 2. NSS 3. NYK,1 only,2 only,1 and 2,All three,D
The Lifeline Express is,A de - addiction programme to save drug addicts,The world's first hospital on rails operating in India,A popular health magazine founded by Ramoath Goenka,An instrument used to measure blood pressure,B 
Which of the following was the first Indian state to issue photo identity cards to its voters?,Tamil Nadu,Rajasthan,West Bengal,Haryana,D
The value the ratio of the circumference of a circle to its diameter was first given by,Bhaskara,Varahamihira,Aryabhatta,None of these,C
The first month of Saka year is,Vaisakh,Chaitra,Jyeshtha,Paush,B 
Which of the following years was celebrated as the World Communication Year?,1983,1981,1985,1987,A
Which of the following bodies certifies the circulation figures of newspapers?,I.S.I.,P.T.I.,AINEC,A.B.C.,D
The 227 year - old Nawab Saheb Ki Haveli is Iocated at,Hyderabad,Jaipur,New Delhi,Agra,B 
The fragments of which of the following comet systems collided with Jupiter in July 1994?,Shoestring - Levy 9,Levy - 9,Shoemaker - Levy 7,Shoemaker - Levy 9,D
The activists of which movement gave a call to their members to take Jal Samadhi to press their demands?,Naxalite Movement,Chipko Movement,Narmada Bachao Andolan,Jharkhand Movement,C
The Writers' Building is the headquarters of,The Times of India group,All India Writers Association,The West Bengal Government,The Press Trust of India,C
The dates of the National Calendar Permanently correspond with the,Vikrami Calendar,Georgian Calendar,Mohammadan Calendar,None of these,B 
When was the Indian Peace Keeping Force sent to Sri Lanka?,1986 (May),1987 (July),1988 (May),1990 (April),B 
In which of the following does nuclear power account for more than/nearly 30 percent of the total electricity generated?,Japan/China/Taiwan/North Korea,Japan/China/South Korea,Taiwan/North Korea/China/South Korea,Japan/Taiwan/South Korea,D
Which city of India was first affected by the plague?,Jaipur,Bombay,Surat,Kanpur,C
The Thakkar Commission was appointed to investigate into the,Bofors deal,Centre State Relations ,Operation Blue Star,Indira Gandhi  Assassination Case,D
Which of the following languages has been reported to have been found by experts to be the most computer suitable?,German,Russian,Arabic,English,D
Who among the following is a prominent leader of the Narmada Bachao Andolan?,Medha Patkar,Chimanbhai Patel,Swami Agnivesh,Sundarlal Bahuguna,A
Which newspaper has appointed an ombudsman to attend to redressal of public grievances regarding published articles?,The Hindustan Times,The Indian Express,The Times of India,The Hindu,C
The abbreviation M.P.L.A. stands for,Maharashtra Pradesh Legislative Assembly,Member of Parliament and Legislative Assembly,People's Movement for the Liberation of Angola,None of these,C
The Earth Summit was held in June 1992 at,New Delhi,Paris,Rio de Janeiro,Washington,C
In May 1993 which of the following underwent the first ever multi party elections in the presence of the U.N.?,Pakistan,Afganistan,Cambadia,Panama,C
Who led the one - man commission which inquired into the assassination of Smt. Indira Gandhi?,Ranganath Mishra,M.P. Thakkar,R.S. Sarkatia,K.K. Mathew,B 
I.S.I. stands for,International Standards Institute,Indian Statistical Institute,Indian Standards Institute,Indian Service Institute,C
In which state is 'Ganesh Utsav' celebrated?,Madhya Pradesh,Maharashtra,West Bengal,Gujarat,B 
Newspapers are not published from which of the following Indian States?,Assam,Manipur,Mizoram,Arunachal Pradesh,D
The words 'Satyameva Jayate' inscribed below the base plate of the emblem of lndia are taken from ,Ramayana,Mundak Upanishad,Rigveda,Satpath Brahmana,B 
A place which has 4 as the first digit in its PIN code number can be situated in which of these following states?,Karnataka,Gujarat,Maharashtra,Uttar Pradesh,C
What does I.F.A. stand for?,International Flood Association,Indian Air Force,Indian Fertiliser Association,Indian Football Association,D
Field Marshal is the highest rank in,Army,Navy,Air Force ,Territorial Army ,A
Delhi became the capital of India in,1910,1911,1916,1923,B 
Which of the following is the largest circulating regional language newspaper?,Jugantar,Mathrubhoomi,Janavani,Ananda Bazar Patrika,D
One lunar month is equal to,One Earth day,14 Earth days,28 Earth days,365 Earth days,C
Whom does the Indian Constitution permit to take part in the Proceedings of Parliament?,Solicitor General,Attorney General,Cabinet Secretary,Chief Justice,B 
Which of the following forts was not built by the European colonial powers in India?,Fort Dansborg,Fort Naarden,Fort Chambray,Fort Santa Katherina,C
Which colonial power ended its involvement in India by selling the rights of Nicobar to the British on October 18 1868?,Belgium,Italy,Denmark,France,C
Who is the first woman to successfully climb K2 (the world's second highest mountain peak)?,Junko Tabei,Wanda Rutkiewicz,Tamae Watanabe,Chantal Mauduit,B 
Who commanded the Hector (the first British trading ship to land at Surat)?,Paul Canning,William Hawkins,Thomas Roe,James Lancaster,B 
What was the name given to the supercluster of galaxies discovered by a team of Indian astronomers in 2017?,Laxmi,Parvati,Saraswati,Durga,C
Which among the following Indian Universities has been named after former Prime Minister Choudhary Charan Singh?,Agra University,Kanpur University,Meerut University,Lucknow University,C
The Government in which country faced severe criticism and agitation for making Islam the state relgion?,Pakistan,Bangladesh,Nepal,Sri Lanka,B 
Which monument was in the news in connection with a fall of its parts and its archaeological conservation?,Sun Temple in Konark,Chaunsat Yogini Temple in Bheraghat,Jagannath Temple in Puri,Khandariya Mahadeva Temple in Khajurao,C
The Industrial Toxicology - Research Centre is situated in which of the following states,Uttar Pradesh,Gujarat,Madhya Pradesh,Bihar,A
Who was awarded the Padma Vibhushan on the 50th Republic Day in 2000 ?,Shabana Azmi,Amitabh Bachchan,Dev Anand,Lata Mangeshkar,D
Thillana is a format of,Kuchipudi,Odissi,Bharathatyarn,Kathak,C
The most ancient musical instrument among the following is,Sarod,Tabla,Sitar,Veena,D
Of which of the following states is Nautanki a folk dance?,Uttar Pradesh,Arunachal Pradesh,Meghalaya,Orissa,A
The headquarters of the Sahitya Academy is at,Mumbai,Chennai,New Delhi,Kolkata,C
The Kalchakra ceremony is associated with which of the following ceremonies?,Hinduism,Islam,Jainism,Buddhism,D
The folk theatre of Karnataka is,Bhagawat Mela,Yakshagana,Bhavai,Koodiattam,B 
The first month of the Indian national calendar is,Magha,Chaitra,Ashadha,Vaishakha,B 
The National Anthem was first sung in the year,1911,1913,1935,1936,A
The Sangeet Natak Academy was set up by the Government of India in,1952,1953,1955,1957,B 
